player_name,team_abbr,stand,pitcher_name,p_throws,home_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,season_hr,bat_order,game_total,recent_hr,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,game_date,game_id,batter
Caleb Durbin,BOS,R,Nick Martinez,R,TB,A,mlb_schedule,0.05075810223823554,1870,1,novig,1011.0,0.09000900090009001,-0.0393,0.0510016176253981,0.1477832512315271,0.0788177339901477,0.7733990147783251,3.6,0.9952253399303693,110.5,,,,0,1.0,7.0,7.5,0,0.0,0.203125,0.109375,79.23583333333335,0.2975964285714285,0.3824761904761904,0.016025641025641,0.2403846153846154,0.0096153846153846,2026-06-09,822969,702332
Troy Johnston,COL,L,Colin Rea,R,COL,H,mlb_schedule,0.07168422957340324,1295,1,prophetx,800.0,0.1111111111111111,-0.0394,0.0721626333646673,0.1929824561403508,0.0833333333333333,0.7236842105263158,3.9,0.9933704776425426,113.9,92.2,21.7,8.47886548821724,0,2.0,5.0,12.5,0,0.0,0.1847826086956521,0.0869565217391304,82.43495238095238,0.3787333333333333,0.4916977777777777,0.0290322580645161,0.2612903225806451,0.0258064516129032,2026-06-09,824347,687859
Ezequiel Tovar,COL,R,Colin Rea,R,COL,H,mlb_schedule,0.10175512774670536,883,1,betrivers,600.0,0.14285714285714285,-0.0411,0.1035604496266444,0.2677824267782426,0.0669456066945606,0.6652719665271967,3.7,0.9825674580745103,99.3,92.2,21.7,8.47886548821724,0,4.0,6.0,12.5,0,0.021505376344086,0.1720430107526881,0.1720430107526881,78.89118783068783,0.4164821428571428,0.6578273809523809,0.0290322580645161,0.2612903225806451,0.0258064516129032,2026-06-09,824347,678662
Kyle Manzardo,CLE,L,Gerrit Cole,R,CLE,H,mlb_schedule,0.1430662812151917,599,1,novig,441.0,0.18484288354898337,-0.0418,0.1442345813239154,0.22,0.08,0.7000000000000001,4.0,0.9919,106.3,88.3,12.8,10.611680928704532,0,,4.0,8.5,1,0.0163934426229508,0.2459016393442623,0.1475409836065573,81.423,0.4803910256410256,0.7095320512820513,0.0206896551724137,0.2206896551724138,0.0068965517241379,2026-06-09,824429,700932
Royce Lewis,MIN,R,Troy Melton,R,DET,A,mlb_schedule,0.10051536857472307,895,1,betrivers,600.0,0.14285714285714285,-0.0423,0.1018507357219028,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,104.4,81.5,15.8,15.26162805536728,0,,7.0,8.5,0,0.0144927536231884,0.2028985507246377,0.0869565217391304,81.86699999999999,0.3132115384615385,0.3957307692307693,0.0181818181818181,0.2727272727272727,0.0242424242424242,2026-06-09,824267,668904
Rob Refsnyder,SEA,R,Trevor Rogers,L,BAL,A,mlb_schedule,0.10895623170094981,818,1,prophetx,560.0,0.15151515151515152,-0.0426,0.1099608731056608,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,94.3,83.4,8.4,-1.169054048064549,0,,5.0,8.5,1,0.0,0.2195121951219512,0.1951219512195122,82.83033333333334,0.2681060606060606,0.3822878787878788,0.019047619047619,0.2412698412698412,0.0253968253968253,2026-06-09,824830,608701
Evan Carter,TEX,L,Stephen Kolek,R,KC,A,mlb_schedule,0.06596292194626878,1416,1,prophetx,820.0,0.10869565217391304,-0.0427,0.0682395143733412,0.2383177570093458,0.1401869158878504,0.6214953271028038,3.5,0.9666382088445545,85.2,,,,0,6.0,8.0,9.5,0,0.0169491525423728,0.2033898305084746,0.1016949152542373,80.67299999999999,0.3040064102564103,0.4706987179487179,0.0116959064327485,0.2894736842105263,0.0146198830409356,2026-06-09,824105,694497
Freddie Freeman,LAD,L,Paul Skenes,R,PIT,A,mlb_schedule,0.10148882464434635,885,1,novig,590.0,0.14492753623188406,-0.0434,0.102080047790485,0.1678832116788321,0.1167883211678832,0.7153284671532847,4.1,0.9942082399162653,90.6,86.7,13.3,13.227141208398036,0,10.0,3.0,8.5,1,0.0421052631578947,0.2210526315789473,0.1157894736842105,81.44388095238095,0.4166923076923077,0.6200076923076921,0.0095541401273885,0.2038216560509554,0.019108280254777,2026-06-09,823374,518692
Austin Wynns,ATL,R,Brandon Eisert,L,CWS,A,mlb_schedule,0.07525096575762134,1229,1,prophetx,740.0,0.11904761904761904,-0.0438,0.0765274919981236,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,91.0,88.1,8.9,7.707626093681505,0,,9.0,9.5,0,0.0161290322580645,0.2096774193548387,0.1774193548387097,80.90916666666665,0.3204444444444444,0.4736805555555555,0.0175438596491228,0.2280701754385964,0.0175438596491228,2026-06-09,824591,642851
Marcell Ozuna,PIT,R,Eric Lauer,L,PIT,H,mlb_schedule,0.11435964463810967,774,1,prophetx,530.0,0.15873015873015872,-0.0444,0.1154141087310568,0.22,0.08,0.7000000000000001,3.9,0.9908636465286554,76.9,86.7,13.3,13.227141208398036,0,,5.0,8.5,0,0.0133333333333333,0.32,0.1333333333333333,84.22874074074073,0.4241964285714285,0.6422083333333333,0.0136054421768707,0.2346938775510204,0.0408163265306122,2026-06-09,823374,542303
