player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Julio Rodríguez,SEA,R,Payton Tolle,L,BOS,BOS,A,mlb_schedule,0.1587563598096948,530,0,,,,,0.1307563598096948,0.2252747252747252,0.0842490842490842,0.6904761904761905,4.1,0.9918370778653149,85.2,76.9,9.0,-7.092096782460497,0,91.0,17.0,7 MPH TOWARD HP,6:45 PM ET,Fenway Park,20.0,3.0,0,7.0,2.656,0.073170731707317,0.4390243902439024,0.2926829268292683,90.24255555555555,0.3935566666666668,0.5616455555555556,0.0522388059701492,,,,,4,2,0,0.5,12,9,2026-08-31,824719,677594
Willi Castro,COL,L,Cade Povich,L,COL,BAL,H,mlb_schedule,0.1530922485623929,553,0,,,,,0.1250922485623929,0.266384778012685,0.0993657505285412,0.6342494714587738,3.9,0.9802111136946386,113.9,88.3,20.0,19.225233918766374,0,81.0,28.0,19 MPH TOWARD OF,8:40 PM ET,Coors Field,15.0,5.0,0,7.0,5.79,0.0,0.3333333333333333,0.2,84.22666666666666,0.3541555555555555,0.5018511904761905,0.0512820512820512,,,,,8,2,0,0.25,12,4,2026-08-31,824314,650489
Jarren Duran,BOS,L,George Kirby,R,BOS,SEA,H,mlb_schedule,0.1523244079864714,556,0,,,,,0.1243244079864714,0.2781954887218045,0.0733082706766917,0.6484962406015037,3.6,0.9768074817362831,80.8,76.9,9.0,-7.092096782460497,0,91.0,17.0,7 MPH TOWARD HP,6:45 PM ET,Fenway Park,18.0,7.0,1,6.0,3.395,0.0,0.475,0.275,91.67644444444444,0.3608488888888889,0.5062933333333334,0.05,4.02,1.036117381489842,17.0,147.66666666666666,20,6,0,0.3,16,2,2026-08-31,824719,680776
Connor Norby,COL,R,Cade Povich,L,COL,BAL,H,mlb_schedule,0.1514546966545919,560,0,,,,,0.1234546966545919,0.22,0.08,0.7000000000000001,4.2,0.9936333750066674,99.3,88.3,20.0,19.225233918766374,0,81.0,28.0,19 MPH TOWARD OF,8:40 PM ET,Coors Field,,2.0,1,5.0,5.79,0.0625,0.40625,0.3125,89.36777777777777,0.4875888888888889,0.6471555555555555,0.0512820512820512,,,,,2,2,0,1.0,5,2,2026-08-31,824314,681393
Francisco Lindor,NYM,L,Ian Seymour,L,TB,TB,A,mlb_schedule,0.1475014174088264,578,0,,,,,0.1195014174088264,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,99.8,87.5,0.0,0.0,1,94.0,33.0,DOME,6:40 PM ET,Tropicana Field,,1.0,1,1.0,4.243,0.0,0.3125,0.40625,85.65166666666667,0.2793166666666666,0.4258166666666667,0.0846153846153846,,,,,0,0,0,,9,5,2026-08-31,822932,596019
Ezequiel Tovar,COL,R,Cade Povich,L,COL,BAL,H,mlb_schedule,0.146944840098294,581,0,,,,,0.118944840098294,0.2522522522522522,0.0653153153153153,0.6824324324324325,3.4,0.9797584910602747,99.3,88.3,20.0,19.225233918766374,0,81.0,28.0,19 MPH TOWARD OF,8:40 PM ET,Coors Field,10.0,9.0,1,7.0,5.79,0.0333333333333333,0.3333333333333333,0.4,86.07555555555557,0.4221444444444444,0.6262777777777778,0.0512820512820512,,,,,0,0,0,,10,2,2026-08-31,824314,678662
Josh Bell,MIN,R,Jackson Jobe,R,MIN,DET,H,mlb_schedule,0.1420064870792021,604,0,,,,,0.1140064870792021,0.2026266416510319,0.0863039399624765,0.7110694183864916,3.9,0.9921096785604487,92.4,91.1,7.8,-4.802159507540135,0,100.0,4.0,5 MPH TOWARD HP,7:40 PM ET,Target Field,17.0,5.0,0,13.0,,0.0588235294117647,0.2941176470588235,0.3235294117647059,85.44222222222221,0.3893222222222222,0.423025641025641,0.0472972972972973,,,,,0,0,0,,12,5,2026-08-31,823663,605137
Carson Benge,NYM,L,Ian Seymour,L,TB,TB,A,mlb_schedule,0.1404100175361895,612,0,,,,,0.1124100175361895,0.2144177449168207,0.0831792975970425,0.7024029574861368,4.1,0.9930517201027353,99.8,87.5,0.0,0.0,1,94.0,33.0,DOME,6:40 PM ET,Tropicana Field,16.0,3.0,0,9.0,4.243,0.0,0.3720930232558139,0.3953488372093023,87.32466666666666,0.3852133333333333,0.5701111111111111,0.0846153846153846,,,,,0,0,0,,11,5,2026-08-31,822932,701807
Kaelen Culpepper,MIN,R,Jackson Jobe,R,MIN,DET,H,mlb_schedule,0.1389871613561627,619,0,,,,,0.1109871613561627,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,92.4,91.1,7.8,-4.802159507540135,0,100.0,4.0,5 MPH TOWARD HP,7:40 PM ET,Target Field,,8.0,1,5.0,,0.0465116279069767,0.3255813953488372,0.3023255813953488,89.09788888888889,0.3583122222222222,0.5258733333333333,0.0472972972972973,,,,,0,0,0,,2,1,2026-08-31,823663,701785
Heriberto Hernández,MIA,R,Will Dion,L,WSH,WSH,A,mlb_schedule,0.1386120936227665,621,0,,,,,0.1106120936227665,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,92.4,88.8,5.7,-5.246877664678911,0,94.0,14.0,5 MPH TOWARD HP,6:45 PM ET,Nationals Park,,1.0,1,2.0,,0.0,0.4,0.3,91.48133333333334,0.5663333333333334,0.9067222222222224,0.05,,,,,2,0,0,0.0,12,10,2026-08-31,822689,681715
