log_date,game_date,player_name,team_abbr,stand,pitcher_name,p_throws,home_team,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,hr_park_factor,temp_f,wind_speed,wind_favor,game_id,batter,hit_hr,actual_hr_count
2026-06-09,2026-06-08,Vladimir Guerrero Jr.,TOR,R,Cristopher Sánchez,L,TOR,mlb_schedule,0.0960360263139568,941,1,prophetx,720.0,0.1219512195121951,-0.0259,0.096418385597905,106.3,69.7,10.5,-8.704894511827938,822806,665489,0,0
2026-06-09,2026-06-08,Ben Rice,NYY,L,Gavin Williams,R,CLE,mlb_schedule,0.2013054155874598,397,1,betrivers,340.0,0.2272727272727272,-0.026,0.2063202389783055,106.3,90.7,10.0,1.736481776669304,824427,700250,0,0
2026-06-09,2026-06-08,Trea Turner,PHI,R,Patrick Corbin,L,TOR,mlb_schedule,0.1132405630244905,783,1,prophetx,610.0,0.1408450704225352,-0.0276,0.1141921126591139,106.3,69.7,10.5,-8.704894511827938,822806,607208,0,0
2026-06-09,2026-06-08,Steven Kwan,CLE,L,Will Warren,R,CLE,mlb_schedule,0.0302154888932019,3210,1,prophetx,1600.0,0.0588235294117647,-0.0286,0.030356250384969,106.3,90.7,10.0,1.736481776669304,824427,680757,0,0
2026-06-09,2026-06-08,Wilyer Abreu,BOS,L,Ian Seymour,L,TB,mlb_schedule,0.1201236600203648,732,1,prophetx,570.0,0.1492537313432835,-0.0291,0.1210817343782218,99.8,94.1,0.0,0.0,822972,677800,0,0
2026-06-09,2026-06-08,José Ramírez,CLE,L,Will Warren,R,CLE,mlb_schedule,0.1499544632654635,567,1,novig,456.0,0.1798561151079136,-0.0299,0.151150668654003,106.3,90.7,10.0,1.736481776669304,824427,608070,0,0
2026-06-09,2026-06-08,Nick Fortes,TB,R,Connelly Early,L,TB,mlb_schedule,0.0555639432491251,1700,1,novig,1024.0,0.0889679715302491,-0.0334,0.0561425088168047,110.5,94.1,0.0,0.0,822972,663743,0,0
2026-06-09,2026-06-08,Junior Caminero,TB,R,Connelly Early,L,TB,mlb_schedule,0.1890175370732466,429,1,novig,346.0,0.2242152466367713,-0.0352,0.1907911054483726,110.5,94.1,0.0,0.0,822972,691406,0,0
2026-06-09,2026-06-08,Trent Grisham,NYY,L,Gavin Williams,R,CLE,mlb_schedule,0.1429641759826813,599,1,novig,459.0,0.1788908765652951,-0.0359,0.1446569533514208,106.3,90.7,10.0,1.736481776669304,824427,663757,0,0
2026-06-09,2026-06-08,Adolis García,PHI,R,Patrick Corbin,L,TOR,mlb_schedule,0.113195312293519,783,1,prophetx,540.0,0.15625,-0.0431,0.1172011766302608,106.3,69.7,10.5,-8.704894511827938,822806,666969,1,1
2026-06-09,2026-06-08,Randy Arozarena,SEA,R,Trey Gibson,R,BAL,mlb_schedule,0.0743284097642311,1245,1,prophetx,740.0,0.119047619047619,-0.0447,0.0758032369680719,94.3,78.0,9.4,-7.7000292163165245,824829,668227,0,0
2026-06-09,2026-06-08,Taylor Ward,BAL,R,Emerson Hancock,R,BAL,mlb_schedule,0.074742379664303,1238,1,novig,726.0,0.1210653753026634,-0.0463,0.0771765576769459,94.3,78.0,9.4,-7.7000292163165245,824829,621493,0,0
2026-06-09,2026-06-08,Chase DeLauter,CLE,L,Will Warren,R,CLE,mlb_schedule,0.0884296688590051,1031,1,novig,619.0,0.1390820584144645,-0.0507,0.0887705901037691,106.3,90.7,10.0,1.736481776669304,824427,800050,0,0
2026-06-09,2026-06-08,Colton Cowser,BAL,L,Emerson Hancock,R,BAL,mlb_schedule,0.0937391953652513,967,1,prophetx,570.0,0.1492537313432835,-0.0555,0.0947152648738022,115.6,78.0,9.4,-7.7000292163165245,824829,681297,0,0
2026-06-09,2026-06-08,Cole Young,SEA,L,Trey Gibson,R,BAL,mlb_schedule,0.0517499035224988,1832,1,novig,770.0,0.1149425287356321,-0.0632,0.0522655393463157,115.6,78.0,9.4,-7.7000292163165245,824829,702284,0,0
2026-06-09,2026-06-08,Gunnar Henderson,BAL,L,Emerson Hancock,R,BAL,mlb_schedule,0.1159067189516253,763,1,novig,456.0,0.1798561151079136,-0.0639,0.1176938053146931,115.6,78.0,9.4,-7.7000292163165245,824829,683002,0,0
2026-06-09,2026-06-08,Julio Rodríguez,SEA,R,Trey Gibson,R,BAL,mlb_schedule,0.1122334863296959,791,1,novig,462.0,0.1779359430604982,-0.0657,0.113288319294039,94.3,78.0,9.4,-7.7000292163165245,824829,677594,0,0
2026-06-09,2026-06-08,Kyle Schwarber,PHI,L,Patrick Corbin,L,TOR,mlb_schedule,0.1861170832263899,437,1,novig,292.0,0.2551020408163265,-0.069,0.2003026595327342,108.2,69.7,10.5,-8.704894511827938,822806,656941,0,0
2026-06-09,2026-06-08,Yandy Díaz,TB,R,Connelly Early,L,TB,mlb_schedule,0.1127660386405881,787,1,novig,446.0,0.1831501831501831,-0.0704,0.1132684302984874,110.5,94.1,0.0,0.0,822972,650490,1,1
2026-06-09,2026-06-08,Willson Contreras,BOS,R,Ian Seymour,L,TB,mlb_schedule,0.1408004347983365,610,1,novig,367.0,0.2141327623126338,-0.0733,0.1447394534339209,110.5,94.1,0.0,0.0,822972,575929,0,0
2026-06-09,2026-06-08,Patrick Wisdom,SEA,R,Trey Gibson,R,BAL,mlb_schedule,0.1062688696235099,841,1,novig,449.0,0.1821493624772313,-0.0759,0.1073754057202143,94.3,78.0,9.4,-7.7000292163165245,824829,621550,0,0
2026-06-09,2026-06-08,Leody Taveras,BAL,L,Emerson Hancock,R,BAL,mlb_schedule,0.0427772513446954,2238,1,prophetx,710.0,0.1234567901234567,-0.0807,0.0432226741001873,115.6,78.0,9.4,-7.7000292163165245,824829,665750,0,0
2026-06-09,2026-06-08,Josh Naylor,SEA,L,Trey Gibson,R,BAL,mlb_schedule,0.0727505175539821,1275,1,prophetx,550.0,0.1538461538461538,-0.0811,0.0729892692363815,115.6,78.0,9.4,-7.7000292163165245,824829,647304,1,1
2026-06-09,2026-06-08,Colt Emerson,SEA,L,Trey Gibson,R,BAL,mlb_schedule,0.0508485982827192,1867,1,prophetx,600.0,0.1428571428571428,-0.092,0.051378064811026,115.6,78.0,9.4,-7.7000292163165245,824829,806068,0,0
2026-06-09,2026-06-08,Dominic Canzone,SEA,L,Trey Gibson,R,BAL,mlb_schedule,0.0634326622336437,1476,1,betonlineag,500.0,0.1666666666666666,-0.1032,0.0640931616886606,115.6,78.0,9.4,-7.7000292163165245,824829,686527,0,0
2026-06-09,2026-06-08,Luke Raley,SEA,L,Trey Gibson,R,BAL,mlb_schedule,0.0800137390075708,1150,1,prophetx,420.0,0.1923076923076923,-0.1123,0.080846890717548,115.6,78.0,9.4,-7.7000292163165245,824829,670042,0,0
2026-06-09,2026-06-08,Austin Slater,TB,R,Connelly Early,L,TB,mlb_schedule,0.0513400328785868,1848,0,,,,,0.0518746165227661,110.5,94.1,0.0,0.0,822972,596103,0,0
